edge_idx;source_name;source_label;relation_type;target_name;target_label;period_id;period_label;n_chunks_in_period;event_natural_periods;aligned
253;Usamah bin Zaid;PERSON;KELUARGA;Utsman bin Affan;PERSON;P8;Perang Badr & Dampaknya;1;;
254;Ruqayah binti Rasulullah;PERSON;KELUARGA;Utsman bin Affan;PERSON;P8;Perang Badr & Dampaknya;1;;
255;Umair bin Wahb;PERSON;SAHABAT;Shafwan bin Umayyah;PERSON;P8;Perang Badr & Dampaknya;1;;
256;Wahb bin Umair;PERSON;SAHABAT;Shafwan bin Umayyah;PERSON;P8;Perang Badr & Dampaknya;1;;
257;Muhammad;PERSON;SAHABAT;Shafwan bin Umayyah;PERSON;P8;Perang Badr & Dampaknya;1;;
258;Ka'b bin Al-Asyraf;PERSON;KELUARGA;Muhammad;PERSON;P8;Perang Badr & Dampaknya;1;;
259;Sulaith bin An- Nu'man;PERSON;SAHABAT;Nu'aim bin Ma'ud;PERSON;P8;Perang Badr & Dampaknya;1;;
260;Abu Zaid;PERSON;KELUARGA;Syurahbil bin Hasyim;PERSON;P9;Perang Uhud & Satuan Pasukan Pasca Uhud;1;;
261;Amr bin Abdi;PERSON;KELUARGA;Syurahbil bin Hasyim;PERSON;P9;Perang Uhud & Satuan Pasukan Pasca Uhud;1;;
262;Abu Sufyan bin Harb;PERSON;MUSUH;Muhammad;PERSON;P9;Perang Uhud & Satuan Pasukan Pasca Uhud;1;;
263;Ibnu Qami'ah;PERSON;MUSUH;Muhammad;PERSON;P9;Perang Uhud & Satuan Pasukan Pasca Uhud;1;;
264;Ka'b bin Asad;PERSON;MUSUH;Muhammad;PERSON;P10;Perang Khandaq hingga Bani Mushthaliq;2;;
265;Ka'b bin Malik;PERSON;MUSUH;Muhammad;PERSON;P10;Perang Khandaq hingga Bani Mushthaliq;2;;
266;Muhammad;PERSON;MUSUH;Sallam bin Abul Huqaiq;PERSON;P10;Perang Khandaq hingga Bani Mushthaliq;1;;
267;Sallam bin Abul Huqaiq;PERSON;MUSUH;Ka'b bin Al-Asyraf;PERSON;P10;Perang Khandaq hingga Bani Mushthaliq;1;;
268;Abdullah bin Unais;PERSON;MUSUH;Abu Rafi';PERSON;P10;Perang Khandaq hingga Bani Mushthaliq;1;;
269;Abdullah bin Atik;PERSON;MUSUH;Abu Rafi';PERSON;P10;Perang Khandaq hingga Bani Mushthaliq;1;;
270;Usaid bin Hudhair;PERSON;KELUARGA;Muhammad;PERSON;P10;Perang Khandaq hingga Bani Mushthaliq;1;;
271;Abdullah bin Ubay bin Salul;PERSON;SAHABAT;Aisyah;PERSON;P10;Perang Khandaq hingga Bani Mushthaliq;1;;
272;Muhammad;PERSON;SAHABAT;Ummu Misthah;PERSON;P10;Perang Khandaq hingga Bani Mushthaliq;1;;
273;Aisyah;PERSON;SAHABAT;Ummu Misthah;PERSON;P10;Perang Khandaq hingga Bani Mushthaliq;1;;
274;Aisyah;PERSON;KELUARGA;Yusuf;PERSON;P10;Perang Khandaq hingga Bani Mushthaliq;1;;
275;Ummu Abi;PERSON;KELUARGA;Tumadhir bin Al-Ashba';PERSON;P10;Perang Khandaq hingga Bani Mushthaliq;1;;
276;Ali bin Abu Thalib;PERSON;KELUARGA;Tumadhir bin Al-Ashba';PERSON;P10;Perang Khandaq hingga Bani Mushthaliq;1;;
277;Sa'd bin Bakr;PERSON;KELUARGA;Tumadhir bin Al-Ashba';PERSON;P10;Perang Khandaq hingga Bani Mushthaliq;1;;
278;Amr bin Umayyah;PERSON;SAHABAT;Salamah bin Abu Salamah;PERSON;P10;Perang Khandaq hingga Bani Mushthaliq;1;;
279;Abu Sufyan bin Harb;PERSON;SAHABAT;Salamah bin Abu Salamah;PERSON;P10;Perang Khandaq hingga Bani Mushthaliq;1;;
280;Abu Jandal;PERSON;SAHABAT;Abu Bashir;PERSON;P11;Hudaibiyah & Babak Baru Diplomasi;1;;
281;Najasyi;PERSON;SAHABAT;Amr bin Umayyah;PERSON;P11;Hudaibiyah & Babak Baru Diplomasi;1;;
282;Ashhamah bin Al-Aijar;PERSON;SAHABAT;Amr bin Umayyah;PERSON;P11;Hudaibiyah & Babak Baru Diplomasi;1;;
283;Heraklius;PERSON;KELUARGA;Muhammad;PERSON;P11;Hudaibiyah & Babak Baru Diplomasi;1;;
284;Abd bin Al-Julunda;PERSON;KELUARGA;Muhammad;PERSON;P11;Hudaibiyah & Babak Baru Diplomasi;1;;
285;Muhammad;PERSON;KELUARGA;Abul Huqaiq;PERSON;P11;Hudaibiyah & Babak Baru Diplomasi;1;;
286;Shafiyyah binti Huyai bin Akhthab;PERSON;KELUARGA;Abul Huqaiq;PERSON;P11;Hudaibiyah & Babak Baru Diplomasi;1;;
287;Usamah bin Zaid;PERSON;MUSUH;Mirdas bin Nuhaik;PERSON;P11;Hudaibiyah & Babak Baru Diplomasi;1;;
288;Muhammad;PERSON;KELUARGA;Maimunah binti Al-Harits Al-Amiriyah;PERSON;P11;Hudaibiyah & Babak Baru Diplomasi;1;;
289;Muhammad;PERSON;KELUARGA;Maimunah;PERSON;P11;Hudaibiyah & Babak Baru Diplomasi;1;;
290;Ja'far bin Abu Thalib;PERSON;KELUARGA;Maimunah binti Al-Harits Al-Amiriyah;PERSON;P11;Hudaibiyah & Babak Baru Diplomasi;1;;
291;Ali bin Abu Thalib;PERSON;KELUARGA;Yusuf;PERSON;P12;Perang Mu'tah & Penaklukan Makkah;1;;
292;Abu Sufyan bin Al-Harits bin Abdul Muththalib;PERSON;KELUARGA;Yusuf;PERSON;P12;Perang Mu'tah & Penaklukan Makkah;1;;
293;Muhammad;PERSON;KELUARGA;Yusuf;PERSON;P12;Perang Mu'tah & Penaklukan Makkah;1;;
294;Abu Sufyan bin Harb;PERSON;SAHABAT;Hakim bin Hizam;PERSON;P12;Perang Mu'tah & Penaklukan Makkah;1;;
295;Budail bin Zarqa';PERSON;SAHABAT;Hakim bin Hizam;PERSON;P12;Perang Mu'tah & Penaklukan Makkah;1;;
296;Al-Abbas bin Abdul Muththalib;PERSON;SAHABAT;Hakim bin Hizam;PERSON;P12;Perang Mu'tah & Penaklukan Makkah;1;;
297;Muhammad;PERSON;KELUARGA;Adi bin Hatim;PERSON;P13;Hunain, Tabuk & Puncak Kekuatan Islam;1;;
