name;degree_centrality;betweenness_centrality;closeness_centrality;pagerank;degree;community
Amru Bin Al-Ash;0.011494;2.6e-05;0.397399;0.001125;3;0
Khalid Bin Dia;0.011494;2.6e-05;0.397399;0.001125;3;0
Waraqah Bin Naufal Bin Asad Bin Abdul Uzza;0.007663;0.0049;0.292445;0.001091;2;0
Abrahah;0.011494;0.000393;0.397399;0.001035;3;3
Asad Bin Khuzaimah;0.003831;0.0;0.279543;0.001014;1;0
Isa bin Maryam;0.011494;0.0;0.325868;0.00099;3;0
Sa'D Bin Ubadah;0.011494;0.002109;0.397399;0.000952;3;0
Jabalah Bin Al-Aiham;0.007663;0.0;0.328685;0.000901;2;0
Amr Bin Salim;0.011494;0.0;0.400188;0.000892;3;0
Abu Sufyan Bin Al-Harits;0.003831;0.0;0.283716;0.00083;1;0
Abu Hudzaifah;0.007663;2.2e-05;0.396708;0.000796;2;0
Usamah bin Zaid;0.003831;0.0;0.288014;0.000784;1;0
Musa Bin Imran;0.003831;0.0;0.294712;0.000749;1;0
Muhammad Bin Abdullah Bin Abdul Muththalib Bin Hasyim;0.003831;0.0;0.288378;0.000735;1;0
Zaid Bin Haritsah Bin Syurahbil;0.003831;0.0;0.292071;0.000716;1;0
Ummul Mukminin;0.003831;0.0;0.292071;0.000716;1;0
Nafisah Binti Munyah;0.003831;0.0;0.292071;0.000716;1;0
Malik Bin Auf;0.003831;0.0;0.39602;0.000714;1;0
Harb Bin Umayyah;0.003831;0.0;0.39602;0.000714;1;0
Uqbah Bin Abu Mu'Aith;0.007663;0.00306;0.400892;0.000712;2;0
Ummu Misthah;0.007663;0.001533;0.398093;0.0007;2;0
Sallam Bin Abul Huqaiq;0.007663;0.00109;0.396708;0.000699;2;0
Usaid Bin Hudhair;0.007663;0.000884;0.396708;0.000698;2;0
Fathimah Binti Amr Bin A'Idz Bin Imran Bin Makhzum Bin Yaqzhah Bin Murrah;0.003831;0.0;0.289844;0.000695;1;0
Az-Zubair Bin Al-Awwam;0.003831;0.0;0.321278;0.000685;1;1
Adam;0.003831;0.0;0.294712;0.00067;1;0
Salamah Bin Abu Salamah;0.007663;0.000354;0.350934;0.000667;2;2
Musafi' Bin Abdi;0.003831;0.0;0.340968;0.000654;1;2
Abu Bakar Ash-;0.003831;0.0;0.39602;0.00065;1;0
Adi Bin Hatim;0.003831;0.0;0.39602;0.00065;1;0
Juwairiyah;0.003831;0.0;0.39602;0.00065;1;0
Ummu Jamil;0.003831;0.0;0.39602;0.00065;1;0
Ibnu Qami'Ah;0.003831;0.0;0.39602;0.00065;1;0
Ka'B Bin As;0.003831;0.0;0.39602;0.00065;1;0
Hathib Bin Abu Balta'Ah;0.003831;0.0;0.315938;0.000643;1;2
Qatadah Bin An-Nu'Man;0.003831;0.0;0.315938;0.000643;1;2
Nasibah Binti Ka'B;0.003831;0.0;0.315938;0.000643;1;2
Ummu Ammarah;0.003831;0.0;0.315938;0.000643;1;2
Malik Bin Sinan;0.003831;0.0;0.315938;0.000643;1;2
Sahl Bin Hanif;0.003831;0.0;0.315938;0.000643;1;2
Al-Miqdad Bin Al-Aswad;0.003831;0.0;0.321278;0.000635;1;1
Martsad Bin Abu Martsad;0.003831;0.0;0.321278;0.000635;1;1
Abu Aziz;0.003831;0.0;0.317698;0.00063;1;2
Abbas;0.003831;0.0;0.31035;0.000627;1;2
Abdullah Bin Haram;0.003831;0.0;0.31035;0.000627;1;2
Bin Mu;0.003831;0.0;0.309928;0.000623;1;2
Abdullah Bin Jabir;0.003831;0.0;0.309928;0.000623;1;2
Hafshah;0.003831;0.0;0.345617;0.000622;1;0
Suhail Bin Amr;0.003831;0.0;0.314631;0.000622;1;1
Ustman Bin Affan;0.003831;0.0;0.345617;0.000622;1;0
Bakr;0.003831;0.0;0.314631;0.000622;1;1
Ummu Jamil Binti Harb Bin Umayyah;0.003831;0.0;0.314631;0.000622;1;1
Uqbah Bin Abu Mu'Ith;0.003831;0.0;0.316376;0.000622;1;0
Ashhamah Bin Al-Aijar;0.003831;0.0;0.349858;0.000622;1;2
Abdullah;0.003831;0.0;0.314631;0.000622;1;1
Abullah Bin Uraiqith;0.003831;0.0;0.346142;0.000621;1;0
Amir Bin Fuhairah;0.003831;0.0;0.346142;0.000621;1;0
Ruqayah Binti Rasulullah;0.003831;0.0;0.341478;0.00062;1;2
Budail Bin Zarqa;0.003831;0.0;0.314197;0.000619;1;1
Lubabah Binti Al-Harits;0.003831;0.0;0.314197;0.000619;1;1
