event_name;current_bab;current_pages;top5_suggestions;ACTION;CORRECT_BAB;CORRECT_PAGES;NOTES
Perang Bani Nadhir;Perang Bani Nadhir;382-389;[1.00] Perang Bani Nadhir (p.382-389) | [0.74] Perang Bani Qainuqa’ (p.310-323) | [0.72] Perang Bani Lahyan (p.415-418) | [0.72] PERANG BANI QURAIZHAH (p.405-411) | [0.69] Perang Najd (p.385-389);;;;
Perang Dzul Usyairah;Perang Dumatul Jandal;387-389;[0.63] Perang Dumatul Jandal (p.387-389) | [0.62] Perang Dzatur Riqa’ (p.493-497) | [0.61] PERANG MU’TAH (p.502-510) | [0.61] PERANG HUNAIN (p.538-551) | [0.59] PERANG BADR KUBRA (p.266-304);;;;
Perang Bani Quraizhah;PERANG BANI QURAIZHAH;405-411;[1.00] PERANG BANI QURAIZHAH (p.405-411) | [0.92] MANUVER-MANUVER MILITER SETELAH PERANG BANI QURAIZHAH (p.412-418) | [0.78] Perang Bani Qainuqa’ (p.310-323) | [0.72] Perang Bani Lahyan (p.415-418) | [0.68] PERANG BADR KUBRA (p.266-304);;;;
Perjanjian Hudaibiyah;PERJANJIAN HUDAIBIYAH;433-450;[1.00] PERJANJIAN HUDAIBIYAH (p.433-450) | [0.92] MANUVER MILITER SETELAH PERJANJIAN HUDAIBIYAH (PERANG GHABAH ATAU DZU QARAD) (p.470-472) | [0.62] Perjalanan ke Madinah (p.223-232) | [0.62] PERANG BANI QURAIZHAH (p.405-411) | [0.59] PERMULAAN HIJRAH (p.210-213);;;;
Perang Khaibar;PERANG KHAIBAR DAN WADIL QURA;473-492;[0.92] PERANG KHAIBAR DAN WADIL QURA (p.473-492) | [0.77] Perang Fijar (p.87-93) | [0.76] Berangkat ke Khaibar (p.474-492) | [0.74] PERANG HUNAIN (p.538-551) | [0.74] Perang Tha’if (p.544-551);;;;
Ghazwah Dzatu Qarad;Perang Dzatur Riqa’;493-497;[0.53] Perang Dzatur Riqa’ (p.493-497) | [0.50] AGAMA BANGSA ARAB (p.56-65) | [0.50] Di bawah Asuhan Paman (p.86-93) | [0.48] Wadil Qura (p.490-492) | [0.45] Perang Dumatul Jandal (p.387-389);;;;
Perang Dzatur Riqa';Perang Dzatur Riqa’;493-497;[0.95] Perang Dzatur Riqa’ (p.493-497) | [0.67] PERANG BADR KUBRA (p.266-304) | [0.65] Perang Dumatul Jandal (p.387-389) | [0.62] Perang Burhan (p.321-323) | [0.60] PERANG BANI QURAIZHAH (p.405-411);;;;
Ghazwah Mu'tah;PERANG MU’TAH;502-510;[0.52] PERANG MU’TAH (p.502-510) | [0.43] Wahyu Terputus (p.99-101) | [0.42] Wadil Qura (p.490-492) | [0.42] HAJI WADA’ (p.594-600) | [0.41] Kawanan Pertama (p.106-109);;;;
Perang Mu'tah;PERANG MU’TAH;502-510;[0.92] PERANG MU’TAH (p.502-510) | [0.75] PERANG UHUD (p.324-375) | [0.72] PERANG TABUK (p.558-571) | [0.69] Perang Burhan (p.321-323) | [0.69] PERANG HUNAIN (p.538-551);;;;
Perang Hunain;PERANG HUNAIN;538-551;[1.00] PERANG HUNAIN (p.538-551) | [0.77] Perang Tha’if (p.544-551) | [0.75] PERANG UHUD (p.324-375) | [0.75] Perang Najd (p.385-389) | [0.69] Perang Burhan (p.321-323);;;;
Perang Tha'if;Perang Tha’if;544-551;[0.92] Perang Tha’if (p.544-551) | [0.77] PERANG HUNAIN (p.538-551) | [0.72] PERANG TABUK (p.558-571) | [0.69] Perang Burhan (p.321-323) | [0.69] PERANG MU’TAH (p.502-510);;;;
Perang Abwa';PERANG TABUK;558-571;[0.75] PERANG TABUK (p.558-571) | [0.70] Perang Najd (p.385-389) | [0.69] PERANG BADR KUBRA (p.266-304) | [0.67] Perang Fijar (p.87-93) | [0.67] Perang As-Sawiq (p.315-323);;;;
Perang Tabuk;PERANG TABUK;558-571;[1.00] PERANG TABUK (p.558-571) | [0.72] Perang Burhan (p.321-323) | [0.72] PERANG MU’TAH (p.502-510) | [0.72] Perang Tha’if (p.544-551) | [0.70] PERANG UHUD (p.324-375);;;;
